"","ECO_CLI","ID_SITE","DATE","effectif_jour_mean","peak_date"
"96","Alpine","74PL2",2009-12-09,0,2009-06-25
"97","Alpine","74PL2",2009-12-15,0,2009-06-25
"98","Atlantic","02PL2",2009-08-18,6,2009-06-25
"99","Atlantic","02PL2",2009-09-15,2,2009-06-25
"100","Atlantic","02PL2",2009-10-06,204,2009-06-25
"101","Atlantic","02PL2",2009-10-13,21,2009-06-25
"102","Atlantic","02PL2",2009-10-20,0,2009-06-25
"103","Atlantic","02PL2",2009-11-03,3,2009-06-25
"104","Atlantic","02PL2",2009-11-10,0,2009-06-25
"105","Atlantic","02PL2",2009-11-17,13,2009-06-25
"106","Atlantic","02PL2",2009-11-24,3,2009-06-25
"107","Atlantic","02PL2",2009-12-01,0,2009-06-25
"108","Atlantic","02PL2",2009-12-08,0,2009-06-25
"109","Atlantic","02PL2",2009-12-15,0,2009-06-25
"110","Atlantic","02PL3",2009-08-19,113,2009-06-25
"111","Atlantic","02PL3",2009-09-16,5,2009-06-25
"112","Atlantic","02PL3",2009-10-08,10,2009-06-25
"113","Atlantic","02PL3",2009-10-14,0,2009-06-25
"114","Atlantic","02PL3",2009-10-21,0,2009-06-25
"115","Atlantic","02PL3",2009-11-12,0,2009-06-25
"116","Atlantic","02PL3",2009-11-18,0,2009-06-25
"117","Atlantic","02PL3",2009-11-25,1,2009-06-25
"118","Atlantic","02PL3",2009-12-09,0,2009-06-25
"119","Atlantic","14PL1",2009-07-22,904,2009-06-25
"120","Atlantic","14PL1",2009-08-18,355,2009-06-25
"121","Atlantic","14PL1",2009-09-15,143,2009-06-25
"122","Atlantic","14PL1",2009-10-06,2521,2009-06-25
"123","Atlantic","14PL1",2009-10-14,81,2009-06-25
"124","Atlantic","14PL1",2009-10-20,0,2009-06-25
"125","Atlantic","14PL1",2009-10-27,1794,2009-06-25
"126","Atlantic","14PL1",2009-11-04,37,2009-06-25
"127","Atlantic","14PL1",2009-11-10,1,2009-06-25
"128","Atlantic","14PL1",2009-11-18,2,2009-06-25
"129","Atlantic","14PL1",2009-11-24,2,2009-06-25
"130","Atlantic","14PL1",2009-12-02,1,2009-06-25
"131","Atlantic","14PL1",2009-12-08,0,2009-06-25
"132","Atlantic","14PL1",2009-12-16,0,2009-06-25
"133","Atlantic","14PL2",2009-06-25,6607,2009-06-25
"134","Atlantic","14PL2",2009-07-23,14746,2009-06-25
"135","Atlantic","14PL2",2009-08-18,12899,2009-06-25
"136","Atlantic","14PL2",2009-09-16,291,2009-06-25
"137","Atlantic","14PL2",2009-10-07,7645,2009-06-25
"138","Atlantic","14PL2",2009-10-13,2434,2009-06-25
"139","Atlantic","14PL2",2009-10-21,2306,2009-06-25
"140","Atlantic","14PL2",2009-10-28,1139,2009-06-25
"141","Atlantic","14PL2",2009-11-04,375,2009-06-25
"142","Atlantic","14PL2",2009-11-10,24,2009-06-25
"143","Atlantic","14PL2",2009-11-18,125,2009-06-25
"144","Atlantic","14PL2",2009-11-25,15,2009-06-25
"145","Atlantic","14PL2",2009-12-01,1,2009-06-25
"146","Atlantic","14PL2",2009-12-09,1333,2009-06-25
"147","Atlantic","14PL2",2009-12-16,0,2009-06-25
"148","Atlantic","16PL1",2009-07-21,2505,2009-06-25
"149","Atlantic","16PL1",2009-08-19,853,2009-06-25
"150","Atlantic","16PL1",2009-09-15,165,2009-06-25
"151","Atlantic","16PL1",2009-10-06,0,2009-06-25
"152","Atlantic","16PL1",2009-10-13,0,2009-06-25
"153","Atlantic","16PL1",2009-10-20,16,2009-06-25
"154","Atlantic","16PL1",2009-10-27,36,2009-06-25
"155","Atlantic","16PL1",2009-11-03,9,2009-06-25
"156","Atlantic","16PL1",2009-11-10,0,2009-06-25
"157","Atlantic","16PL1",2009-11-17,73,2009-06-25
"158","Atlantic","16PL1",2009-11-24,8,2009-06-25
"159","Atlantic","16PL1",2009-12-02,0,2009-06-25
"160","Atlantic","16PL1",2009-12-09,170,2009-06-25
"161","Atlantic","16PL1",2009-12-15,0,2009-06-25
"162","Atlantic","17PL1",2009-07-21,748,2009-06-25
"163","Atlantic","17PL1",2009-08-18,64,2009-06-25
"164","Atlantic","17PL1",2009-09-18,28,2009-06-25
"165","Atlantic","17PL1",2009-10-06,496,2009-06-25
"166","Atlantic","17PL1",2009-10-14,50,2009-06-25
"167","Atlantic","17PL1",2009-10-20,26,2009-06-25
"168","Atlantic","17PL1",2009-10-27,7,2009-06-25
"169","Atlantic","17PL1",2009-11-03,8,2009-06-25
"170","Atlantic","17PL1",2009-11-13,13,2009-06-25
"171","Atlantic","17PL1",2009-11-18,2,2009-06-25
"172","Atlantic","17PL1",2009-11-24,1,2009-06-25
"173","Atlantic","17PL1",2009-12-03,4,2009-06-25
"174","Atlantic","17PL1",2009-12-09,17,2009-06-25
"175","Atlantic","17PL1",2009-12-16,0,2009-06-25
"176","Atlantic","17PL2",2009-07-21,567,2009-06-25
"177","Atlantic","17PL2",2009-08-18,49,2009-06-25
"178","Atlantic","17PL2",2009-09-18,3,2009-06-25
"179","Atlantic","17PL2",2009-10-06,39,2009-06-25
"180","Atlantic","17PL2",2009-10-14,14,2009-06-25
"181","Atlantic","17PL2",2009-10-20,3,2009-06-25
"182","Atlantic","17PL2",2009-10-27,8,2009-06-25
"183","Atlantic","17PL2",2009-11-03,1,2009-06-25
"184","Atlantic","17PL2",2009-11-13,5,2009-06-25
"185","Atlantic","17PL2",2009-11-18,0,2009-06-25
"186","Atlantic","17PL2",2009-11-24,0,2009-06-25
"187","Atlantic","17PL2",2009-12-03,18,2009-06-25
"188","Atlantic","17PL2",2009-12-09,13,2009-06-25
"189","Atlantic","17PL2",2009-12-16,0,2009-06-25
"190","Atlantic","18PL3",2009-07-21,106,2009-06-25
"191","Atlantic","18PL3",2009-08-18,171,2009-06-25
"192","Atlantic","18PL3",2009-09-16,35,2009-06-25
"193","Atlantic","18PL3",2009-10-13,48,2009-06-25
"194","Atlantic","18PL3",2009-10-20,1,2009-06-25
"195","Atlantic","18PL3",2009-10-27,2,2009-06-25
"196","Atlantic","18PL3",2009-11-03,1,2009-06-25
"197","Atlantic","18PL3",2009-11-10,1,2009-06-25
"198","Atlantic","18PL3",2009-11-18,4,2009-06-25
"199","Atlantic","18PL3",2009-11-23,0,2009-06-25
"200","Atlantic","18PL3",2009-11-30,0,2009-06-25
"201","Atlantic","18PL3",2009-12-09,0,2009-06-25
"202","Atlantic","18PL3",2009-12-16,0,2009-06-25
"203","Atlantic","22PL1",2009-07-22,188,2009-06-25
"204","Atlantic","22PL1",2009-08-26,92,2009-06-25
"205","Atlantic","22PL1",2009-09-16,184,2009-06-25
"206","Atlantic","22PL1",2009-10-06,15,2009-06-25
"207","Atlantic","22PL1",2009-10-14,1544,2009-06-25
"208","Atlantic","22PL1",2009-10-20,5,2009-06-25
"209","Atlantic","22PL1",2009-10-28,886,2009-06-25
"210","Atlantic","22PL1",2009-11-04,21,2009-06-25
"211","Atlantic","22PL1",2009-11-10,131,2009-06-25
"212","Atlantic","22PL1",2009-11-18,4,2009-06-25
"213","Atlantic","22PL1",2009-11-25,0,2009-06-25
"214","Atlantic","22PL1",2009-12-02,28,2009-06-25
"215","Atlantic","22PL1",2009-12-09,129,2009-06-25
"216","Atlantic","22PL1",2009-12-15,0,2009-06-25
"217","Atlantic","22PL2",2009-07-22,4397,2009-06-25
"218","Atlantic","22PL2",2009-08-18,62,2009-06-25
"219","Atlantic","22PL2",2009-09-16,17,2009-06-25
"220","Atlantic","22PL2",2009-10-06,1265,2009-06-25
"221","Atlantic","22PL2",2009-10-13,3,2009-06-25
"222","Atlantic","22PL2",2009-10-21,554,2009-06-25
"223","Atlantic","22PL2",2009-10-27,1092,2009-06-25
"224","Atlantic","22PL2",2009-11-04,10,2009-06-25
"225","Atlantic","22PL2",2009-11-10,30,2009-06-25
"226","Atlantic","22PL2",2009-11-18,29,2009-06-25
"227","Atlantic","22PL2",2009-11-25,13,2009-06-25
"228","Atlantic","22PL2",2009-12-01,244,2009-06-25
"229","Atlantic","22PL2",2009-12-09,92,2009-06-25
"230","Atlantic","22PL2",2009-12-15,0,2009-06-25
"231","Atlantic","24PL1",2009-07-30,7134,2009-06-25
"232","Atlantic","24PL1",2009-08-25,2798,2009-06-25
"233","Atlantic","24PL1",2009-10-07,3279,2009-06-25
"234","Atlantic","24PL1",2009-10-13,80,2009-06-25
"235","Atlantic","24PL1",2009-10-21,804,2009-06-25
"236","Atlantic","24PL1",2009-10-27,380,2009-06-25
"237","Atlantic","24PL1",2009-11-03,20,2009-06-25
"238","Atlantic","24PL1",2009-11-10,3,2009-06-25
"239","Atlantic","24PL1",2009-11-17,101,2009-06-25
"240","Atlantic","24PL1",2009-11-24,9,2009-06-25
"241","Atlantic","24PL1",2009-12-01,1,2009-06-25
"242","Atlantic","24PL1",2009-12-08,18,2009-06-25
"243","Atlantic","24PL1",2009-12-15,0,2009-06-25
"244","Atlantic","27PL1",2009-07-21,176,2009-06-25
"245","Atlantic","27PL1",2009-08-18,159,2009-06-25
"246","Atlantic","27PL1",2009-09-16,1,2009-06-25
"247","Atlantic","27PL1",2009-10-06,96,2009-06-25
