"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","r2"
"fixed","cond",NA,"ELEV_OVINOUI",-0.736693795604844,0.269696367844537,-2.73156736033427,0.0063033854074975,-1.2652889633414,-0.208098627868285,0.0111318949052481
"fixed","cond",NA,"ELEV_CAPRINOUI",-0.878479076746166,0.367051688731893,-2.39333887764193,0.0166958125667369,-1.59788716712528,-0.159070986367049,0.00830087905485556
"fixed","cond",NA,"ELEV_BOVINOUI",0.205395758526006,0.323267658796889,0.635373669269706,0.525184736777576,-0.428197210082478,0.838988727134491,0.000558460250989643
"fixed","cond",NA,"ACTIV_LAITOUI",0.216747255615721,0.251945265259505,0.860295014444787,0.389626440405619,-0.277056390368298,0.710550901599741,0.00106850006904384
"fixed","cond",NA,"ACTIV_VIANDEOUI",-0.482954803232416,0.236828636244121,-2.03925847351749,0.0414242377829463,-0.947130400778631,-0.018779205686201,0.0062122577345194
"fixed","cond",NA,"OUVERTURE_BAT25 - 75 %",1.65594427053371,0.393872615609608,4.20426352304477,2.61933626078548e-05,0.883968129442289,2.42792041162513,0.04998378397691
"fixed","cond",NA,"OUVERTURE_BAT5 - 25 %",0.542897041269186,0.395277990883508,1.37345628593114,0.169610542030308,-0.231833584743841,1.31762766728221,0.04998378397691
"fixed","cond",NA,"OUVERTURE_BAT75 - 100 %",2.09083242277056,0.515469516179668,4.0561708445273,4.98837777574013e-05,1.08053073593013,3.101134109611,0.04998378397691
"fixed","cond",NA,"TEMPERATUREDEBUT",0.684107288704069,0.0440614945875336,15.5261934509508,2.30672207174808e-54,0.597748346207497,0.770466231200642,0.0494819129706704
"fixed","cond",NA,"TEMPERATUREFIN",0.563655219628301,0.0394055928656665,14.3039395841549,2.06765460402968e-46,0.486421676822146,0.640888762434455,0.0316501808613233
"fixed","cond",NA,"ANIMAUXDEBUTA l'intérieur",0.0344564292550413,0.0815578692911895,0.422478291236619,0.672675942895322,-0.125394057211515,0.194306915721598,0.00032356881055811
"fixed","cond",NA,"ANIMAUXDEBUTAucun à proximité",-0.179249680070361,0.13820881319542,-1.29694826202517,0.194648989135137,-0.450133976279407,0.0916346161386856,0.00032356881055811
"fixed","cond",NA,"ANIMAUXDEBUTInt. & Ext.",0.131262969004136,0.101474513421497,1.29355603272426,0.195818817715763,-0.0676234226507243,0.330149360658996,0.00032356881055811
"fixed","cond",NA,"SITUATIONPIEGEIntérieur",-0.108030302756169,0.0893707722801341,-1.20878783969267,0.226744364575681,-0.283193797695762,0.0671331921834246,0.000218546770990453
"fixed","cond",NA,"VENTDEBUTVent fort à grand vent",-0.489805885856398,0.10584721818046,-4.62748000633634,3.70141952504173e-06,-0.697262621353852,-0.282349150358943,0.0039154523776962
"fixed","cond",NA,"VENTDEBUTVent moyen",-0.258747259090134,0.0527940586500273,-4.90106776607902,9.53171676850749e-07,-0.362221712641883,-0.155272805538385,0.0039154523776962
"fixed","cond",NA,"VENTDEBUTVent nul",0.157142610153878,0.0510265559950607,3.07962407200456,0.00207262022047488,0.0571323981484422,0.257152822159313,0.0039154523776962
"fixed","cond",NA,"NUAGEDEBUTComplètement couvert",-0.000413320961637659,0.0649707911371924,-0.00636164273827127,0.994924177714656,-0.127753731637609,0.126927089714334,0.000186006444862216
"fixed","cond",NA,"NUAGEDEBUTCouvert",0.0819950908693601,0.0579113649368591,1.41587218603394,0.156812929762691,-0.0315090987024394,0.19549928044116,0.000186006444862216
"fixed","cond",NA,"NUAGEDEBUTTrès beau",0.0814489559586284,0.0624605359098986,1.3040066783308,0.192231305360084,-0.0409714448798436,0.2038693567971,0.000186006444862216
"fixed","cond",NA,"PLUIEDEBUTBrouillard / Bruine",0.0731308317194269,0.0994101389173705,0.73564761618745,0.461945176667402,-0.121709460256743,0.267971123695597,0.000548231549795257
"fixed","cond",NA,"PLUIEDEBUTPluie fine",-0.198470114094996,0.0823667917459911,-2.40958898468516,0.0159705009598375,-0.35990605943925,-0.0370341687507429,0.000548231549795257
"fixed","cond",NA,"PLUIEDEBUTPluie forte",-0.239832992407306,0.110425264039366,-2.17190327316588,0.0298629595465861,-0.456262532907789,-0.0234034519068227,0.000548231549795257
"fixed","cond",NA,"VENTFINVent fort à grand vent",-0.0478680942096725,0.123119495266906,-0.388793782056214,0.697428700874805,-0.289177870727558,0.193441682308213,0.00106775221098658
"fixed","cond",NA,"VENTFINVent moyen",-0.125381098883226,0.059311011590328,-2.11395987897249,0.0345186942110157,-0.241628545486906,-0.00913365227954499,0.00106775221098658
"fixed","cond",NA,"VENTFINVent nul",0.132280067585906,0.048526509334115,2.72593412139188,0.00641197946902349,0.0371698569955936,0.227390278176218,0.00106775221098658
"fixed","cond",NA,"NUAGEFINComplètement couvert",0.00955559403368716,0.0634863330998535,0.150514190489752,0.880358955880844,-0.114875332352539,0.133986520419913,0.000147163818189883
"fixed","cond",NA,"NUAGEFINCouvert",-0.0698703071144118,0.0629696742590201,-1.10958660556201,0.267177205769054,-0.19328860078031,0.0535479865514866,0.000147163818189883
"fixed","cond",NA,"NUAGEFINTrès beau",-0.0639814113581779,0.066462043142965,-0.962675962587382,0.335710163263288,-0.194244622257336,0.0662817995409807,0.000147163818189883
"fixed","cond",NA,"PLUIEFINBrouillard / Bruine",-0.0361616308386912,0.0748373327853066,-0.483203095204257,0.628951537847271,-0.182840107796931,0.110516846119548,0.000496890549291621
"fixed","cond",NA,"PLUIEFINPluie fine",0.234522351268023,0.0779932297819578,3.00695780805163,0.00263876384874549,0.0816584298574289,0.387386272678617,0.000496890549291621
